mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
23,2,mpg_rec I(factor(same_mpg)),0.3733228793052771,0.36417430820024466,0.3421531411166412,203.39398654828608,3137.9637601211857,2736.466063409465,3149.730329811623,42909780657.75995,313049110.54245806,0.6541228340098203,2253541.5197420884
24,2,mpg I(factor(same_mpg)),0.2914712523593724,0.28112776699235587,0.25955547571320925,247.46173022165823,3155.1500459775675,2753.2479579698593,3166.916615668005,48514318054.68289,353937118.36291707,0.739559203741677,2547881.3539082888
25,2,mpg mpgmpge,0.28908669267263165,0.27870839621529786,0.258896299287535,248.74554300547248,3155.6204261090056,2753.70783196875,3167.386995799443,48677593415.70126,355128296.82518816,0.7420481966993698,2556456.2708518277
26,2,mpgmpge I(factor(same_mpg)),0.23589066995700866,0.2247357892264541,0.17445353379352257,277.38551976517977,3165.722880615534,2763.5915987940075,3177.4894503059713,52320026801.5924,381701737.9890541,0.7975739722346551,2747750.067794507
27,2,mpgmpge mpg2,0.2299405498945422,0.21869880609738224,0.19328716137570456,280.58897918953363,3166.808838036001,2764.6548264180915,3178.5754077264382,52727442898.87185,384674049.77715796,0.8037846814969377,2769146.800123515
28,2,mpg2 I(factor(same_mpg)),0.22251248081646544,0.21116229805466202,0.18458353321350862,284.5881451967914,3168.152820064336,2765.970883275427,3179.9193897547734,53236056991.08194,388384653.43755984,0.8115380674689447,2795858.2620967906
29,3,accelrate carclass_id mpg_rec,0.7134425993006503,0.6959429107083237,0.6743247932624088,22.27840047788476,3040.414798724046,2632.354481974625,3069.831222950139,19766474849.157726,150749538.0803069,0.3034137183875467,1085644.8215659964
30,3,mpg accelrate carclass_id,0.6627541924427317,0.6421590286224405,0.6204879461053785,49.56831277373456,3063.217046189449,2653.9779067392337,3092.633470415542,23262916109.63709,177415238.91793755,0.3570837962371076,1277681.7617546944
31,3,mpg carclass_id mpg_rec,0.6527587248275198,0.6315531507711851,0.5969154861909333,54.94972938325117,3067.3061370800706,2657.8681249517085,3096.7225613061637,23952394583.1976,182673564.55256587,0.3676672325355672,1315550.3620040754
32,3,carclass_id mpg2 mpg_rec,0.6519066600936311,0.6306490515497307,0.5958582447778341,55.408468832754664,3067.649249934993,2658.1947250910603,3097.065674161086,24011169251.348427,183121811.09840545,0.36856941872439064,1318778.474988517
33,3,accelrate carclass_id mpg2,0.6518591896098361,0.6305986821050933,0.6105428121503476,55.434026261360344,3067.668340833475,2658.2128980110538,3097.0847650595683,24014443723.13565,183146783.9432424,0.3686196815895853,1318958.3205789062
34,3,accelrate mpgmpge carclass_id,0.6500595186759177,0.6286891076026913,0.6109167276229566,56.402943317398154,3068.390189397306,2658.900098161202,3097.8066136233992,24138583424.868153,184093538.62946805,0.37052521551961654,1325776.512763659
35,3,accelrate carclass_id I(factor(same_mpg)),0.6493441516384156,0.6279300540285478,0.609063517652005,56.78808668494361,3068.676092750815,2659.172311352117,3098.092516976908,24187928807.399506,184469872.48159724,0.3712826629710893,1328486.735978581
36,3,mpg carclass_id mpg2,0.6322530044027722,0.609795172610575,0.5681411325717141,65.98971557818442,3075.3386838309093,2665.521181907168,3104.7551080570024,25366860955.555912,193461029.38331333,0.3893791718088294,1393237.8659292113
37,3,accelrate mpg2 mpg_rec,0.6297933010287362,0.6216269767867231,0.5999435279381752,67.3139846470348,3066.2719666375738,2666.411331455142,3080.9801787506203,25536529108.465633,187594897.4066964,0.3919835636166323,1350992.059513246
38,3,mpg accelrate mpg_rec,0.6293653204993808,0.6211895555103966,0.598806544748216,67.54440323452718,3066.4337213195245,2666.5656306242045,3081.141933432571,25566050825.05291,187811768.04604355,0.3924367194712439,1352553.885105252
39,3,mpg accelrate mpg2,0.6215016170973515,0.6131523880627343,0.5872654352625183,71.77810852267095,3069.373009332299,2669.370483595164,3084.0812214453454,26108482097.59411,191796543.67825022,0.4007629936616278,1381250.8289585924
40,3,mpgmpge carclass_id mpg_rec,0.6146519206011564,0.5911192134622956,0.5646386934430536,75.46588701526238,3081.8839412080224,2671.7681323631286,3111.3003654341155,26580968074.87466,202720449.12375897,0.4080156134811286,1459920.929903614
41,3,carclass_id mpg_rec I(factor(same_mpg)),0.6130957457715429,0.5894680050553012,0.5624399739333603,76.30370925607971,3082.4481732900817,2672.3071059131566,3111.864597516175,26688311631.716595,203539107.57112032,0.40966332800660166,1465816.6183105374
42,3,accelrate mpgmpge mpg_rec,0.5984042714609255,0.5895455421549165,0.5727985860825224,84.2133886144643,3077.6657877743187,2677.2945656597526,3092.3739998873652,27701716473.98953,203500665.1786791,0.4252190066884319,1465539.7698053024
43,3,accelrate mpg_rec I(factor(same_mpg)),0.5911211053480557,0.5821017179660275,0.5639212991655134,88.13454094054632,3080.18201881859,2679.7019983418663,3094.890230931637,28204102800.222713,207191265.0612214,0.43293059433735276,1492118.1640211418
44,3,mpg accelrate mpgmpge,0.5401020937108049,0.5299572869544256,0.513662409398961,115.60244611468593,3096.6439903445735,2695.4868660727634,3111.35220245762,31723348884.58634,233044136.66099775,0.4869507243062066,1678301.3957067742
45,3,mpg accelrate I(factor(same_mpg)),0.5400779253637638,0.5299325854820821,0.5113371754802982,115.61545800659516,3096.651347368027,2695.4939337471806,3111.3595594810736,31725015995.687878,233056383.49120438,0.48697631432072075,1678389.593043653
46,3,accelrate mpgmpge I(factor(same_mpg)),0.524268238002815,0.513774155017583,0.4833691149417191,124.12716725629502,3101.3829410890457,2700.04184278684,3116.0911532020923,32815554180.465424,241067628.7948431,0.5037159832911371,1736083.7464649195
47,3,mpg carclass_id I(factor(same_mpg)),0.523136154420012,0.49401469820138677,0.4714260197622333,124.73666484364003,3111.715698819497,2700.361862581364,3141.13212304559,32893644299.97378,250864239.6704471,0.5049146600258696,1806635.4708777056
